customer_id,name,gender,age,city,signup_date,referral_source
CUST00001,Sarthak Vyas,Female,20,Ahmedabad,2020-09-14,Google Ads
CUST00002,Vansha Rajan,Female,32,Kolkata,2020-05-26,TV Ad
CUST00003,Eesha Munshi,Male,30,Ahmedabad,2021-07-25,Facebook
CUST00004,Faqid Bakshi,Male,27,Pimpri-Chinchwad,2020-01-01,Newspaper Ad
CUST00005,Baghyawati Goel,Male,35,Indore,2020-05-04,Google Ads
CUST00006,Tarak Trivedi,Male,47,Patna,2023-07-11,TV Ad
CUST00007,Logan Ram,Male,53,Lucknow,2022-05-23,TV Ad
CUST00008,Simon Zacharia,Male,62,Agra,2020-07-03,Instagram
CUST00009,Chaitaly Patil,Female,60,Agra,2024-02-09,Friend Referral
CUST00010,Lakshit Edwin,Male,33,Indore,2020-09-06,Instagram
CUST00011,Pooja Kuruvilla,Male,65,Patna,2020-09-22,Instagram
CUST00012,Orinder Palla,Male,22,Kanpur,2020-02-17,Direct Visit
CUST00013,Dhriti Raja,Female,36,Vadodara,2020-08-14,Email Campaign
CUST00014,Lila Sachdev,Female,57,Kanpur,2023-05-16,Instagram
CUST00015,Jackson Kakar,Female,27,Chennai,2022-04-22,Friend Referral
CUST00016,Isaiah Sridhar,Female,20,Thane,2021-06-23,Newspaper Ad
CUST00017,Nihal Subramaniam,Male,41,Pune,2021-07-10,Email Campaign
CUST00018,Indali Pall,Male,37,Hyderabad,2022-11-18,Email Campaign
CUST00019,Chatura Patel,Male,41,Delhi,2024-06-06,Google Ads
CUST00020,Urvashi Anand,Female,30,Lucknow,2023-01-01,Email Campaign
CUST00021,Sudiksha Bhatt,Female,41,Nagpur,2020-01-05,Google Ads
CUST00022,Gaurika Bhatia,Male,56,Ludhiana,2020-05-22,Email Campaign
CUST00023,Hamsini Lal,Female,48,Nagpur,2023-11-03,Facebook
CUST00024,Ijaya Bhakta,Male,58,Pune,2023-11-28,Google Ads
CUST00025,Hemang Karan,Male,52,Pimpri-Chinchwad,2021-02-07,Newspaper Ad
CUST00026,Qasim Chana,Male,56,Bhopal,2023-10-17,Instagram
CUST00027,Pavani Thakkar,Female,55,Nashik,2021-09-26,Direct Visit
CUST00028,Naksh Rau,Male,20,Pimpri-Chinchwad,2023-03-18,Newspaper Ad
CUST00029,Pallavi Balan,Female,26,Chennai,2023-11-13,Instagram
CUST00030,Hritik Bala,Male,52,Agra,2020-11-18,TV Ad
CUST00031,Bhavini Bedi,Female,18,Vadodara,2020-03-26,Google Ads
CUST00032,Meghana Doshi,Male,45,Bhopal,2022-06-27,TV Ad
CUST00033,Priya Gandhi,Male,59,Thane,2021-12-07,Google Ads
CUST00034,Azad Loyal,Female,45,Mumbai,2020-10-16,Email Campaign
CUST00035,Kamya Mandal,Female,22,Jaipur,2020-06-23,Direct Visit
CUST00036,Sathvik Manne,Female,55,Lucknow,2024-08-11,Newspaper Ad
CUST00037,Benjamin De,Male,54,Bengaluru,2021-11-24,Newspaper Ad
